Time,Press,Temp,Rain,WDir,Humid,SolRad
2017-08-31T11:20:00,1016.93,25.99,0,156.8,71.5,824
2017-08-31T11:30:00,1016.93,25.76,0,164.6,73.2,808
2017-08-31T11:40:00,1016.93,25.55,0,173,75.5,819
2017-08-31T11:50:00,1017.93,25.56,0,179.1,76.8,811
2017-08-31T12:00:00,1017.93,25.73,0,185,76.3,753
2017-08-31T12:10:00,1017.93,25.81,0,205,76.9,823
2017-08-31T12:20:00,1017.93,26.48,0,175.9,73.9,757
2017-08-31T12:30:00,1016.93,26.02,0,173.2,76.7,813
2017-08-31T12:40:00,1016.93,26.29,0,182.2,76.4,760
2017-08-31T12:50:00,1016.93,26.01,0,172.8,78.9,765
2017-08-31T13:00:00,1016.93,26.05,0,176.9,79.8,750
2017-08-31T13:10:00,1016.93,26.26,0,179.1,78.6,666
2017-08-31T13:20:00,1016.93,25.99,0,173.8,80.2,640.2
2017-08-31T13:30:00,1016.93,25.94,0,189.2,80.8,464.5
2017-08-31T13:40:00,1016.93,26.12,0,189.7,80.5,438.5
2017-08-31T13:50:00,1016.93,26.01,0,180.2,81.5,631.6
2017-08-31T14:00:00,1016.93,25.71,0,174.3,83.4,339
2017-08-31T14:10:00,1016.93,25.74,0,162,84.4,463.4
2017-08-31T14:20:00,1015.93,26.09,0,150.2,82.8,523
2017-08-31T14:30:00,1015.93,25.89,0,153.9,82.7,462
2017-08-31T14:40:00,1015.93,26.25,0,177.1,79.5,434.1
2017-08-31T14:50:00,1015.93,25.75,0,187,82.7,407.3
2017-08-31T15:00:00,1015.93,26.05,0,189.5,82.3,507.2
2017-08-31T15:10:00,1014.93,26.15,0,176.9,82.7,526.5
2017-08-31T15:20:00,1014.93,25.87,0,181.8,84.3,351
2017-08-31T15:30:00,1014.93,25.71,0,171.3,86.1,283.6
2017-08-31T15:40:00,1014.93,25.43,0,166.1,87.8,157.1
2017-08-31T15:50:00,1014.93,25.04,0,177.8,89.2,142.4
2017-08-31T16:00:00,1014.93,24.94,0,174.2,89.4,79.7
2017-08-31T16:10:00,1014.93,24.89,0,182.5,88.7,65.86
2017-08-31T16:20:00,1014.93,25.03,0,198.4,88.4,91.5
2017-08-31T16:30:00,1014.93,25.33,0,212.2,86.7,134.1
2017-08-31T16:40:00,1015.93,25.35,0,206.6,88.3,93.1
2017-08-31T16:50:00,1015.93,24.98,0,196.4,91.1,63.23
2017-08-31T17:00:00,1014.93,24.7,0,187.2,93.8,51.54
2017-08-31T17:10:00,1014.93,24.47,0,178.6,94,60.87
2017-08-31T17:20:00,1015.93,24.43,0,171.9,93.6,42.88
2017-08-31T17:30:00,1015.93,24.43,0,159,94.8,25.12
2017-08-31T17:40:00,1015.93,24.39,0,146.7,95.3,17.67
2017-08-31T17:50:00,1015.93,24.35,0,143.2,95,9.27
2017-08-31T18:00:00,1015.93,24.25,0,144.1,94,2.266
2017-08-31T18:10:00,1015.93,24.26,0,156.4,93.5,0.028
2017-08-31T18:20:00,1015.93,24.2,0,158,93.3,0
